column 1	column 2	column 3	Product	GO terms (biological process)
tolB	-1.7501718612765	0.000246764987258928	Tol-Pal system periplasmic protein TolB	regulation of membrane invagination // protein transport // bacteriocin transport // protein import // cell septum assembly // cellular response to bacteriocin // cell division
arsC	1.71400173138045	2.93537470665911e-05	arsenate reductase	DNA damage response // response to arsenic-containing substance
ychA	1.71325378084021	0.00234919019988051	transglutaminase-like/TPR repeat-containing protein	
waaA	-1.70441426289429	0.00158876267456915	KDO transferase	lipopolysaccharide biosynthetic process // lipopolysaccharide core region biosynthetic process // Kdo2-lipid A biosynthetic process // lipid A biosynthetic process
rimI	1.67862775987732	0.00226094462734772	protein <i>N</i>-acetyltransferase RimI	internal peptidyl-lysine acetylation
mngA	1.48637068893509	0.0257276022074229	2-O-alpha-mannosyl-D-glycerate specific PTS enzyme II	proton transmembrane transport // fructose transmembrane transport // phosphoenolpyruvate-dependent mannosylglycerate phosphotransferase system // phosphoenolpyruvate-dependent sugar phosphotransferase system
zitB	-1.4098641102402	0.0141324935802378	Zn<sup>2+</sup>/Cd<sup>2+</sup>/Ni<sup>2+</sup>/Cu<sup>2+</sup> exporter	monoatomic ion transport // monoatomic cation transport // transmembrane transport // zinc ion transmembrane transport // zinc ion transport
napH	1.33044257444265	0.0160433282988241	ferredoxin-type protein NapH	
grpE	1.22550674209375	0.0138461424035088	nucleotide exchange factor GrpE	protein-containing complex assembly // protein folding // protein unfolding // response to heat
yicH	-1.20191854672808	0.0412749810016238	AsmA family protein YicH	
malY	1.08457372143746	0.00740272211929297	negative regulator of MalT activity/cystathionine &beta;-lyase	amino acid biosynthetic process // methionine biosynthetic process
